Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
owner_record_id,owner_contact_admin,Record routing,text,Neutral REDCap record key,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
record_type,owner_contact_admin,,radio,Record type,"1, Contact | 2, Assignment",,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
owner_id,owner_contact_admin,,text,Pseudonymous owner identifier,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
oc_name,owner_contact_admin,Restricted researcher contact,text,Researcher name,,,,,,y,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_email,owner_contact_admin,,text,Researcher email address,,,email,,,y,[record_type] = '1',,,,,,@HIDDEN-SURVEY
oc_affiliation,owner_contact_admin,,text,Organisation or affiliation,,,,,,y,[record_type] = '1',,,,,,@HIDDEN-SURVEY
oc_contact_source,owner_contact_admin,,dropdown,Source of contact details,"1, Public register entry | 2, Institutional profile | 3, Public directory | 4, Existing approved contact record | 5, Other public source",,,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_contactability,owner_contact_admin,,radio,Contactability status,"0, Unresolved | 1, Contactable | 2, Uncontactable | 3, Identity ambiguous | 4, Contact must not proceed",,,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_contact_issue_note,owner_contact_admin,,notes,Reason contact cannot proceed or identity is ambiguous,,Operational detail only; do not record substantive project information.,,,,y,([record_type] = '1') and ([oc_contactability] = '2' or [oc_contactability] = '3' or [oc_contactability] = '4'),y,,,,,@HIDDEN-SURVEY
oc_eligible_projects,owner_contact_admin,,text,Number of eligible projects,,,integer,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY @READONLY
oc_projects_offered,owner_contact_admin,,text,Number of projects offered for review,,,integer,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_minutes_per_project,owner_contact_admin,,text,Estimated minutes per project,,,integer,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_est_total_minutes,owner_contact_admin,,text,Estimated total burden in minutes,,,integer,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_eoi_invite_date,owner_contact_admin,,text,Expression-of-interest invitation date,,,date_ymd,,,,[record_type] = '1',,,,,,@HIDDEN-SURVEY
oc_eoi_status,owner_contact_admin,,radio,Expression-of-interest status,"0, Not approached | 1, Awaiting response | 2, Interested | 3, Not interested | 4, No response | 5, Withdrawn",,,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_eoi_response_date,owner_contact_admin,,text,Expression-of-interest response date,,,date_ymd,,,,([record_type] = '1') and ([oc_eoi_status] = '2' or [oc_eoi_status] = '3' or [oc_eoi_status] = '5'),y,,,,,@HIDDEN-SURVEY
oc_projects_accepted,owner_contact_admin,,text,"Number of projects accepted, where stated",,,integer,,,,([record_type] = '1') and [oc_eoi_status] = '2',,,,,,@HIDDEN-SURVEY
oc_followup_date,owner_contact_admin,,text,Expression-of-interest follow-up or reminder date,,,date_ymd,,,,[record_type] = '1',,,,,,@HIDDEN-SURVEY
oc_contact_suppression,owner_contact_admin,,radio,"Opt-out, do-not-contact or researcher-level withdrawal status","0, None | 1, Declined and no further approach | 2, Do not contact | 3, Researcher-level withdrawal",,,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_recruit_route,owner_contact_admin,Recruitment provenance,radio,Recruitment route,"1, Deterministic sequence | 2, Supplementary",,,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY @READONLY
oc_sequence_pos,owner_contact_admin,,text,Deterministic sequence position,,,integer,,,,([record_type] = '1') and [oc_recruit_route] = '1',y,,,,,@HIDDEN-SURVEY @READONLY
