variable,form,field_type,scope,prepopulated,participant_response,branching,required,annotation,construct,analytical_completion,requiredness_rationale,analysis_applicability,notes
owner_id,owner_consent,text,owner_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
owner_intro,owner_consent,descriptive,owner_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
participant_info_link,owner_consent,descriptive,owner_row,no,no,,,,verbatim_inline_participant_information_v3_2,not_applicable,,always_if_row_and_field_are_applicable,Byte-identical field-label value from the pinned v3.2 inline participant-information HTML derivative.
participant_info_ver,owner_consent,text,owner_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
consent_form_ver,owner_consent,text,owner_row,yes,no,,,@HIDDEN-SURVEY @READONLY @DEFAULT='owner-consent-v3',,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
owner_instr_ver,owner_consent,text,owner_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
intended_recipient,owner_consent,radio,owner_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
wrong_recipient_stop,owner_consent,descriptive,owner_row,no,no,[intended_recipient] = '0',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
consent_read_info,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_understand_invitation,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_voluntary,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_no_nonpublic,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_confidentiality_limits,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_withdrawal_deadline,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_quote_process,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_retention_reanalysis,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_complaints,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_acknowledgement,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,ethics_consent_confirmation,owner_consent_validity,Separately auditable confirmation; valid affirmative consent requires stored code 1.,always_if_row_and_field_are_applicable,Ethics-resubmission v3 statement; blank by default and never pre-populated.
consent_items_complete,owner_consent,calc,owner_row,no,no,[intended_recipient] = '1',,@HIDDEN-SURVEY @READONLY,deterministic_all_consent_items_confirmed,owner_consent_validity,,always_if_row_and_field_are_applicable,"if([consent_read_info] = '1' and [consent_understand_invitation] = '1' and [consent_voluntary] = '1' and [consent_no_nonpublic] = '1' and [consent_confidentiality_limits] = '1' and [consent_withdrawal_deadline] = '1' and [consent_quote_process] = '1' and [consent_retention_reanalysis] = '1' and [consent_complaints] = '1' and [consent_acknowledgement] = '1', 1, 0)"
owner_consent,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
consent_decline_stop,owner_consent,descriptive,owner_row,no,no,[owner_consent] = '0',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
ack_pref,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1' and [consent_items_complete] = '1' and [owner_consent] = '1',,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
assignment_id,project_review,text,project_review_repeat_row,yes,no,,,@READONLY-SURVEY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
source_record_id,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
official_project_id,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
project_title,project_review,notes,project_review_repeat_row,yes,no,,,@READONLY-SURVEY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
datasets_used,project_review,notes,project_review_repeat_row,yes,no,,,@READONLY-SURVEY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_register_provenance,project_review,descriptive,project_review_repeat_row,no,no,,,,participant_facing_static_register_provenance,not_applicable,,always_if_row_and_field_are_applicable,"These details are reproduced from the UK Statistics Authority's Public Register of Accredited Projects, as at 1 June 2026."
public_register_url,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
source_pop_ver,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
production_ver,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
taxonomy_ver,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
proposal_output_sha256,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
review_instr_ver,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
taxonomy_display_ver,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_llm_disclaimer,project_review,descriptive,project_review_repeat_row,no,no,,,,participant_facing_llm_status_disclaimer,not_applicable,,always_if_row_and_field_are_applicable,Exact Questionnaire v3 wording immediately before po_intro and the proposed-classification judgements.
po_intro,project_review,descriptive,project_review_repeat_row,no,no,,,,participant_facing_classification_orientation,not_applicable,,always_if_row_and_field_are_applicable,Exact canonical Questionnaire Section 2 orientation with the governing substantive-focus phrase strongly emphasised; displayed after project information and before the detailed classification judgements.
po_privacy,project_review,descriptive,project_review_repeat_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
prop_d01_label,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_d01_def,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d01_display,project_review,descriptive,project_review_repeat_row,no,no,[prop_d01_label] <> '',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_d01_fit,project_review,radio,project_review_repeat_row,no,yes,[prop_d01_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d01_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d01_fit] = '2',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_fit_is_2_does_not_fit,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_d01_vis,project_review,radio,project_review_repeat_row,no,yes,[prop_d01_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_d01_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d01_vis] = '1' or [po_d01_vis] = '0' or [po_d01_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
prop_d02_label,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_d02_def,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d02_display,project_review,descriptive,project_review_repeat_row,no,no,[prop_d02_label] <> '',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_d02_fit,project_review,radio,project_review_repeat_row,no,yes,[prop_d02_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d02_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d02_fit] = '2',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_fit_is_2_does_not_fit,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_d02_vis,project_review,radio,project_review_repeat_row,no,yes,[prop_d02_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_d02_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d02_vis] = '1' or [po_d02_vis] = '0' or [po_d02_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
prop_d03_label,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_d03_def,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d03_display,project_review,descriptive,project_review_repeat_row,no,no,[prop_d03_label] <> '',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
