variable,source_form,include_in_ordinary_analytical_export,restricted_or_public,notes
owner_record_id,owner_contact_admin,yes,internal_analysis,Contact crosswalk only
record_type,owner_contact_admin,yes,internal_analysis,Contact crosswalk only
owner_id,owner_contact_admin,yes,internal_analysis,Contact crosswalk only
oc_name,owner_contact_admin,no,restricted,Contact crosswalk only
oc_email,owner_contact_admin,no,restricted,Contact crosswalk only
oc_affiliation,owner_contact_admin,no,restricted,Contact crosswalk only
oc_contact_source,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_contactability,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_contact_issue_note,owner_contact_admin,no,restricted,Contact crosswalk only
oc_eligible_projects,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_projects_offered,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_minutes_per_project,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_est_total_minutes,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_eoi_invite_date,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_eoi_status,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_eoi_response_date,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_projects_accepted,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_followup_date,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_contact_suppression,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_recruit_route,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_sequence_pos,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_supp_reason,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_ack_permission,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_ack_name,owner_contact_admin,no,restricted,Contact crosswalk only
oc_ack_affiliation,owner_contact_admin,no,restricted,Contact crosswalk only
oc_ack_permission_date,owner_contact_admin,no,internal_analysis,Contact crosswalk only
oc_ack_permission_source,owner_contact_admin,no,restricted,Contact crosswalk only
owner_assignment_id,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
source_record_id,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
official_project_id,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
project_title,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
datasets_used,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
public_register_url,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
production_ver,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
taxonomy_ver,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
proposal_output_sha256,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
owner_recruit_route,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
owner_sequence_pos,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
owner_invite_batch,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
owner_link_release,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
owner_invite_date,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
owner_reminder_date,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
owner_withdrawal_status,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
instrument_ver,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d01,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d02,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d03,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d04,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d05,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d06,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d07,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d08,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d09,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d10,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d11,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_d12,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_p01,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_p02,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_p03,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_p04,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_p05,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_p06,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_p07,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_p08,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_t01,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
prop_t02,owner_assignment_admin,yes,internal_analysis,Stable assignment/response column
po_intro,project_owner_review,no,internal_analysis,Stable assignment/response column
po_privacy,project_owner_review,no,internal_analysis,Stable assignment/response column
po_ack,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_assignment,project_owner_review,no,internal_analysis,Stable assignment/response column
po_project_title,project_owner_review,no,internal_analysis,Stable assignment/response column
po_datasets,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d01_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d01_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d01_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d02_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d02_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d02_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d03_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d03_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d03_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d04_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d04_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d04_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d05_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d05_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d05_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d06_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d06_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d06_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d07_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d07_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d07_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d08_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d08_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d08_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d09_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d09_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d09_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d10_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d10_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d10_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d11_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d11_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d11_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d12_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_d12_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_d12_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p01_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_p01_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p01_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p02_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_p02_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p02_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p03_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_p03_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p03_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p04_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_p04_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p04_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p05_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_p05_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p05_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p06_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_p06_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p06_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p07_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_p07_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p07_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p08_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_p08_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_p08_vis,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_t01_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_t01_correct,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_t01_det,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_t02_label,project_owner_review,no,internal_analysis,Stable assignment/response column
po_t02_correct,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_t02_det,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_miss_domain,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_miss_domains,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_miss_purpose,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_miss_purposes,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_miss_tag,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_miss_tags,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_sufficiency,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_taxonomy_fit,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_tax_issue,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_note,project_owner_review,yes,restricted,Stable assignment/response column
po_nonpublic,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_nonpublic_note,project_owner_review,yes,restricted,Stable assignment/response column
po_quote_permission,project_owner_review,yes,internal_analysis,Stable assignment/response column
po_other_comment,project_owner_review,yes,restricted,Stable assignment/response column
owner_contact_admin_complete,owner_contact_admin,no,internal_analysis,REDCap-generated form status
owner_assignment_admin_complete,owner_assignment_admin,yes,internal_analysis,REDCap-generated form status
project_owner_review_complete,project_owner_review,yes,internal_analysis,REDCap-generated form status
project_owner_review_timestamp,project_owner_review,yes,internal_analysis,REDCap survey/audit completion timestamp; not manually entered
owner_analytical_complete,derived,yes,internal_analysis,Deterministic derivation: affirmative participation; every populated domain/purpose verdict; both tag correctness responses; public-entry sufficiency
