Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,linkage_mode,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,"Carolin Ioramashvili, London School of Economics",Digital Economy Act (2017) ,Office for National Statistics: Annual Respondents Database,Office for National Statistics Secure Research Service,2019-10-25,2019/003,2019,2019Q4,Q4 2019,Labour Market & Employment; Business & Productivity,Single-Dataset,Descriptive Monitoring,,Assigned Labour Market & Employment because the title focuses on labour share and earnings; Business & Productivity because it examines superstar region dynamics and firm-level productivity implications; Single-Dataset because only the Annual Respondents Database is listed; Descriptive Monitoring because the project characterises regional patterns in labour share and earnings; no tag because no demographic or equality-relevant group comparison is central.,Labour Market & Employment
2019/004,The changing nature of the HR and training practitioner profession,"Jonathan Boys, Chartered Institute of Personnel and Development",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-25,2019/004,2019,2019Q4,Q4 2019,Labour Market & Employment,Single-Dataset,Descriptive Monitoring,,Assigned Labour Market & Employment because the project studies the HR and training practitioner profession and workforce dynamics; Single-Dataset because only the Annual Population Survey is listed; Descriptive Monitoring because it characterises the changing nature of a profession; no tag because no demographic equity comparison is indicated.,Labour Market & Employment
2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,"Julian Molina, Office of the Victims' Commissioner for England and Wales",Digital Economy Act (2017) ,Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2019-10-14,2019/006,2019,2019Q4,Q4 2019,Crime & Justice,Single-Dataset,Descriptive Monitoring,,Assigned Crime & Justice because the project analyses victimisation data; Single-Dataset because only the Crime Survey for England and Wales is listed; Descriptive Monitoring because the title indicates analysis of victimisation patterns; no tag because no demographic equity comparison is central.,Crime & Justice
2019/007,Thriving Places index indicators of wellbeing at local authority level,"Soraya Safazadeh, Happy City Initiative 
Saamah Abdallah, New Economics Foundation",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/007,2019,2019Q4,Q4 2019,Health & Social Care,Single-Dataset,Descriptive Monitoring,,Assigned Health & Social Care because the Thriving Places index focuses on wellbeing indicators at local authority level; Single-Dataset because LFS and APS are listed as an internally coherent product (Labour Force Survey & Annual Population Survey); Descriptive Monitoring because the project measures wellbeing indicators across local authorities; no tag because no demographic group comparison is central.,Health & Social Care
2019/008,Class in UK creative industries: Beyond participation,"Rebecca Florisson, The Work Foundation",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2019-11-19,2019/008,2019,2019Q4,Q4 2019,Labour Market & Employment,Cross-Domain Linkage,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the project examines class-based participation in creative industries workforce; Cross-Domain Linkage because it uses LFS/APS (labour market domain) and Understanding Society (household panel spanning multiple domains); Descriptive Monitoring because it characterises class composition in creative industries; Demographic disparities / equity tag because the title explicitly centres on class-based inequality in participation.,Labour Market & Employment
2019/009,Functional specialisation and their linkages between London & UK cities,"Joanna Jedrasaiak, ARUP
Enrico Vanino, University of Aston",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/009,2019,2019Q4,Q4 2019,Business & Productivity,Single-Dataset,Descriptive Monitoring,,Assigned Business & Productivity because the project studies functional specialisation and linkages between cities using firm-level data; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because it maps and characterises functional specialisation patterns across cities; no tag because no demographic equity comparison is indicated.,Business & Productivity
2019/010,Diversity in the Creative Industries,"Danielle Cox, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Social and Economic Research: Understanding Society",Office for National Statistics Secure Research Service,2019-10-31,2019/010,2019,2019Q4,Q4 2019,Labour Market & Employment,Cross-Domain Linkage,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the project examines workforce diversity in creative industries; Cross-Domain Linkage because it uses LFS/APS (labour market domain) and Understanding Society (household panel spanning multiple domains); Descriptive Monitoring because it characterises diversity patterns in creative industries; Demographic disparities / equity tag because 'diversity' centrally involves comparison across demographic groups such as ethnicity, gender, and disability.",Labour Market & Employment
2019/011,Modelling Return on Investment at the firm level,"Chris Dimos, University of Bath",Digital Economy Act (2017) ,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",Office for National Statistics Secure Research Service,2019-10-14,2019/011,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Outcome Tracking,,"Assigned Business & Productivity because the project models return on investment at the firm level using innovation and business surveys; Within-Domain Linkage because multiple datasets (UK Innovation Survey, Annual Business Survey, BERD, BRES) all sit within the business/firm domain; Outcome Tracking because it links firm-level investment/innovation inputs to return-on-investment outcomes; no tag because no demographic equity comparison is central.",Business & Productivity
2019/012,The impact of the immigration white paper on the Northern Ireland economy,"Patrick Deshpande, Oxford Economics",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/012,2019,2019Q4,Q4 2019,Labour Market & Employment; Migration & Demographics,Single-Dataset,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment because the project examines economic and labour market impacts; Migration & Demographics because it focuses on the immigration white paper and migration policy; Single-Dataset because only the LFS/APS is listed; Policy Evaluation / Impact Analysis because it evaluates the impact of a specific named policy (immigration white paper) on the economy; no tag because no demographic equity comparison is central beyond migration policy itself.,Labour Market & Employment
2019/013,TechNation programme evaluation,"Thomas Baily, Frontier Economics
Eli Daniels, Frontier Economics
Federico Cilauro, Frontier Economics",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/013,2019,2019Q4,Q4 2019,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because TechNation is a business support programme and the BSD provides firm-level data; Single-Dataset because only the Business Structure Database is listed; Policy Evaluation / Impact Analysis because the title explicitly states this is a programme evaluation; no tag because no demographic equity comparison is indicated.,Business & Productivity
